study_ID,author_first,year,extracted,Order,Family,species,species_OTL,resistance,origin,setting,life_stage,sex,mean_mass_g,lon,lat,trt_temp,Bd_strain,Bd,time_post_days,bio_hier,trait,response,trait_unit,sample_size,chi,F,t,df,corr_coeff,corr_corrected,Zr,Zr_v,Zr_sei,notes,title,ref
19,Greenspan,2017,Fig 2,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Juvenile,Juvenile,,,,16,Paluma-Lseratta-2012-RW-1,1000,6,Cellular,Immune,Lymphocytes,%,26,,,,,-0.478833305,n,-0.521469402,0.043478261,0.208514414,,White blood cell profiles in amphibians help to explain disease susceptibility following temperature shifts,https://www.sciencedirect.com/science/article/pii/S0145305X17304263?casa_token=irSddmV_O-wAAAAA:ywXesuCLKBwgzcidkc9c9_fca3Ox8j-HtrlJbiTGNaLOouxZMNFhVAjEpE8bBib4tv0Fjzub
19,Greenspan,2017,Fig 2,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Juvenile,Juvenile,,,,16,Paluma-Lseratta-2012-RW-1,1000,6,Cellular,Immune,Neutrophils,%,20,,,,,-0.67461049,n,-0.819156458,0.058823529,0.242535625,,,
19,Greenspan,2017,Fig 2,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Juvenile,Juvenile,,,,16,Paluma-Lseratta-2012-RW-1,1000,6,Cellular,Immune,Basophils,%,26,,,,,0.132763979,n,0.133552378,0.043478261,0.208514414,,,
19,Greenspan,2017,Fig 2,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Juvenile,Juvenile,,,,26,Paluma-Lseratta-2012-RW-1,1000,6,Cellular,Immune,Lymphocytes,%,20,,,,,0.49725419,n,0.545651738,0.058823529,0.242535625,,,
19,Greenspan,2017,Fig 2,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Juvenile,Juvenile,,,,26,Paluma-Lseratta-2012-RW-1,1000,6,Cellular,Immune,Neutrophils,%,26,,,,,0.467107107,n,0.506363667,0.043478261,0.208514414,,,
19,Greenspan,2017,Fig 2,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Juvenile,Juvenile,,,,26,Paluma-Lseratta-2012-RW-1,1000,6,Cellular,Immune,Basophils,%,20,,,,,0.48820373,n,0.533699243,0.058823529,0.242535625,,,
20,Greenspan,2016,Table 4,Anura,Pelodryadidae,Litoria rheocola,Litoria rheocola,Sensitive,Wild,Wild,Adult,Male,2.03,145.717,17.365,,,22.99,,Organism,Behaviour,Calling effort,,61,,1.278,,53,0.172902869,n,0.174657451,0.017241379,0.131306433,,Robust calling performance in frogs infected by a deadly fungal pathogen,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.2256
20,Greenspan,2016,Table 2,Anura,Pelodryadidae,Litoria rheocola,Litoria rheocola,Sensitive,Wild,Wild,Adult,Male,2.03,,,,,22.99,,Organism,Behaviour,Duration ,sec,61,,,,,-0.139148229,n,-0.140056882,0.017241379,0.131306433,,,
20,Greenspan,2016,Table 2,Anura,Pelodryadidae,Litoria rheocola,Litoria rheocola,Sensitive,Wild,Wild,Adult,Male,2.03,,,,,22.99,,Organism,Behaviour,Pulse rate ,pulses/sec,61,,,,,-0.040294413,n,-0.040316242,0.017241379,0.131306433,,,
20,Greenspan,2016,Table 2,Anura,Pelodryadidae,Litoria rheocola,Litoria rheocola,Sensitive,Wild,Wild,Adult,Male,2.03,,,,,22.99,,Organism,Behaviour,Dominant frequency ,kHz,61,,,,,0.114755587,n,0.115263338,0.017241379,0.131306433,,,
20,Greenspan,2016,Table 2,Anura,Pelodryadidae,Litoria rheocola,Litoria rheocola,Sensitive,Wild,Wild,Adult,Male,2.03,,,,,22.99,,Organism,Behaviour,Call rate,calls/10 m,61,,,,,0.134645023,n,0.135467663,0.017241379,0.131306433,,,
20,Greenspan,2016,Table 2,Anura,Pelodryadidae,Litoria rheocola,Litoria rheocola,Sensitive,Wild,Wild,Adult,Male,2.03,,,,,22.99,,Organism,Behaviour,Intercall interval ,sec,61,,,,,-0.069092257,n,-0.069202516,0.017241379,0.131306433,,,
20,Greenspan,2016,Table 2,Anura,Pelodryadidae,Litoria rheocola,Litoria rheocola,Sensitive,Wild,Wild,Adult,Male,2.03,,,,,22.99,,Organism,Thermoregulation,Body temp,°C,61,,,,,-0.079470625,n,-0.079638563,0.017241379,0.131306433,,,
20,Greenspan,2016,Table 2,Anura,Pelodryadidae,Litoria rheocola,Litoria rheocola,Sensitive,Wild,Wild,Adult,Male,2.03,,,,,22.99,,Organism,Body condition,Body size,mm,61,,,,,-0.069121443,n,-0.069231841,0.017241379,0.131306433,,,
20,Greenspan,2016,Table 2,Anura,Pelodryadidae,Litoria rheocola,Litoria rheocola,Sensitive,Wild,Wild,Adult,Male,2.03,,,,,22.99,,Organism,Body condition,Body size,g,61,,,,,-0.149361722,n,-0.15048753,0.017241379,0.131306433,,,
20,Greenspan,2016,Table 2,Anura,Pelodryadidae,Litoria rheocola,Litoria rheocola,Sensitive,Wild,Wild,Adult,Male,2.03,,,,,22.99,,Organism,Body condition,Body condition,,61,,,,,-0.057368272,n,-0.057431332,0.017241379,0.131306433,,,
21,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,94,Tissue,Immune,Bone marrow,,25,,,2.703,17,-0.548261098,n,-0.615891673,0.045454545,0.213200716,,"Effects of chytridiomycosis on hematopoietic tissue in the spleen, kidney and bone marrow in three diverse amphibian species",https://academic.oup.com/femspd/article/74/7/ftw069/2197965?login=true
21,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,94,Tissue,Immune,Bone marrow,,25,,,2.322,17,-0.49070314,n,-0.536986063,0.045454545,0.213200716,,,
21,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,94,Tissue,Immune,Hematopoietic tissue,,25,,,0.277,17,-0.067031267,n,-0.067131933,0.045454545,0.213200716,,,
21,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,94,Cellular,Immune,Spleen cells,,25,,,1.791,17,-0.398416529,n,-0.421765263,0.045454545,0.213200716,,,
21,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,94,Cellular,Immune,White blood cells,,25,,,0.125,17,0.03030303,n,0.030312311,0.045454545,0.213200716,,,
21,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,94,Tissue,Immune,Hematopoietic tissue,,25,,,9.68,22,-0.899920559,n,-1.471801536,0.045454545,0.213200716,,,
21,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,94,Tissue,Immune,Hematopoietic density,,25,,,4.4,10.64,-0.803326418,n,-1.107921418,0.045454545,0.213200716,,,
21,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,91,Tissue,Immune,Hematopoietic tissue,,19,,,1.604,14,-0.394009061,n,-0.416537029,0.0625,0.25,,,
21,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,91,Tissue,Immune,Hematopoietic density,,19,,,0.688,14,-0.180843955,n,-0.18285504,0.0625,0.25,,,
21,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,91,Tissue,Immune,Spleen cells,,19,,,1.51,16,-0.353173138,n,-0.369064464,0.0625,0.25,,,
21,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,91,Tissue,Immune,White blood cells,,19,,,0.89,16,0.217188837,n,0.220703876,0.0625,0.25,,,
21,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,91,Tissue,Immune,Hematopoietic tissue,,19,,,0.188,16,0.046948174,n,0.046982713,0.0625,0.25,,,
21,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,,,,,19,AbercrombieR-L.booroologensis2009-LB1,,91,Tissue,Immune,Hematopoietic density,,19,,,0.334,16,0.083210422,n,0.083403273,0.0625,0.25,,,
21,Brannelly,2016,text,Anura,Bufonidae,Rhinella marina,Rhinella marina,Resilient,Wild,Lab,Juvenile,Juvenile,,,,19,AbercrombieR-L.booroologensis2009-LB1,,93,Tissue,Immune,Hematopoietic tissue,,21,,11.913,,23,0.584140054,n,0.668724226,0.055555556,0.23570226,,,
21,Brannelly,2016,text,Anura,Bufonidae,Rhinella marina,Rhinella marina,Resilient,Wild,Lab,Juvenile,Juvenile,,,,19,AbercrombieR-L.booroologensis2009-LB1,,93,Tissue,Immune,Spleen cells,,21,,3.061,,19,0.372493816,n,0.391315571,0.055555556,0.23570226,,,
21,Brannelly,2016,text,Anura,Bufonidae,Rhinella marina,Rhinella marina,Resilient,Wild,Lab,Juvenile,Juvenile,,,,19,AbercrombieR-L.booroologensis2009-LB1,,93,Tissue,Immune,White blood cells,,21,,1.145,,19,0.238407057,n,0.243084492,0.055555556,0.23570226,,,
21,Brannelly,2016,text,Anura,Bufonidae,Rhinella marina,Rhinella marina,Resilient,Wild,Lab,Juvenile,Juvenile,,,,19,AbercrombieR-L.booroologensis2009-LB1,,93,Tissue,Immune,Hematopoietic tissue,,21,,0.062,,21,0.054255784,n,0.054309115,0.055555556,0.23570226,,,
22,Brannelly,2012,text,Anura,Hylidae,Hyla cinerea,Dryophytes cinereus,Resilient,Wild,Wild,Juvenile,Juvenile,,,,20,JEL 423,50,25,Organism,Body condition,Body condition,,20,,,0.73,19,0.165173167,n,0.16670034,0.058823529,0.242535625,,Field and Laboratory Studies of the Susceptibility of the Green Treefrog (Hyla cinerea) to Batrachochytrium dendrobatidis Infection,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0038473
23,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,Male,,,,19,AbercrombieR-L.booroologensis-2009-LB1,124317,91,Tissue,Reproduction,Spermatocytes,,27,,,2.813,24,0.497950447,n,0.54657713,0.041666667,0.204124145,,Amphibians with infectious disease increase their reproductive effort: evidence for the terminal investment hypothesis,https://royalsocietypublishing.org/doi/full/10.1098/rsob.150251
23,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,Male,,,,19,AbercrombieR-L.booroologensis-2009-LB1,124317,91,Tissue,Reproduction,Spermatogonia,,27,,,2.32,76,-0.257171441,n,-0.263077156,0.041666667,0.204124145,,,
23,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,Male,,,,19,AbercrombieR-L.booroologensis-2009-LB1,124317,91,Cellular,Reproduction,Spermatogenesis-stage cycts,,27,,,0.538,24,0.109162504,n,0.109599241,0.041666667,0.204124145,,,
23,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,Male,,,,19,AbercrombieR-L.booroologensis-2009-LB1,124317,91,Tissue,Reproduction,Testes size,,27,,,0.24,24,0.048931113,n,0.04897022,0.041666667,0.204124145,,,
23,Brannelly,2016,text,Anura,Myobatrachidae,Pseudophryne corroboree,Pseudophryne corroboree,Sensitive,Lab,Lab,Adult,Male,,,,19,AbercrombieR-L.booroologensis-2009-LB1,124317,91,Tissue,Reproduction,Testes tubules,,27,,,2.027,24,0.382325394,n,0.402780318,0.041666667,0.204124145,,,
23,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,Male,,,,19,AbercrombieR-L.booroologensis-2009-LB1,66407,91,Cellular,Reproduction,Spermatogenesis-stage cycts,,15,,,3.746,11,0.748713255,n,0.970020408,0.083333333,0.288675135,,,
23,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,Male,,,,19,AbercrombieR-L.booroologensis-2009-LB1,66407,91,Tissue,Reproduction,Spermatogonia,,15,,,3.302,11,-0.705542606,n,-0.878252131,0.083333333,0.288675135,,,
23,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,Male,,,,19,AbercrombieR-L.booroologensis-2009-LB1,66407,91,Tissue,Reproduction,Spermatocytes,,15,,,0.532,11,0.158379467,n,0.159724028,0.083333333,0.288675135,,,
23,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,Male,,,,19,AbercrombieR-L.booroologensis-2009-LB1,66407,91,Tissue,Reproduction,Testes size,,15,,,0.393,11,0.117670741,n,0.118218404,0.083333333,0.288675135,,,
23,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,Male,,,,19,AbercrombieR-L.booroologensis-2009-LB1,66407,91,Tissue,Reproduction,Testes tubules,,15,,,0.352,11,0.105539261,n,0.105933751,0.083333333,0.288675135,,,
23,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,Female,,,,19,AbercrombieR-L.booroologensis-2009-LB1,358001,91,Cellular,Reproduction,Egg numbers,n,11,,,,,0.626842085,n,0.736197175,0.125,0.353553391,,,
23,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,Female,,,,19,AbercrombieR-L.booroologensis-2009-LB1,358001,91,Tissue,Reproduction,Ovary mass,,11,,,,,0.768250906,n,1.016045427,0.125,0.353553391,,,
23,Brannelly,2016,text,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Lab,Lab,Adult,Female,,,,19,AbercrombieR-L.booroologensis-2009-LB1,358001,91,Tissue,Reproduction,Oviduct size,,11,,,,,0.819206323,n,1.154399563,0.125,0.353553391,,,
24,Baker,2016,Fig 1,Anura,Pelodryadidae,Litoria aurea,Litoria aurea,Sensitive,Lab,Lab,Juvenile,Juvenile,,151.74,-32.86,20.1,Gibbo River-Llesueuri-00-LB-1,,90,Organism,Immune,Swelling response,%,32,,,,,-0.35828327,n,-0.374914952,0.034482759,0.185695338,,Susceptibility to disease varies with ontogeny and immunocompetence in a threatened amphibian,https://link.springer.com/article/10.1007/s00442-016-3607-4
24,Baker,2016,Fig 1,Anura,Pelodryadidae,Litoria aurea,Litoria aurea,Sensitive,Lab,Lab,Juvenile,Juvenile,,,,20.1,Gibbo River-Llesueuri-00-LB-1,,90,Organism,Immune,Swelling response,%,32,,,,,-0.32687448,n,-0.33932481,0.034482759,0.185695338,,,
24,Baker,2016,Fig 1,Anura,Pelodryadidae,Litoria aurea,Litoria aurea,Sensitive,Lab,Lab,Adult,,,,,20.1,Gibbo River-Llesueuri-00-LB-1,,90,Organism,Immune,Swelling response,%,32,,,,,-0.108939976,n,-0.109374035,0.034482759,0.185695338,,,
25,Wise,2015,Table 1,Anura,Bufonidae,Anaxyrus americanus,Anaxyrus americanus,Resilient,Wild,Lab,Juvenile,Juvenile,,-84.624978,39.586117,22,JEL 213,,51,Organism,Body condition,Mass change,,14,,0.8,,13,-0.240771706,n,-0.245593147,0.090909091,0.301511345,,Effects of amphibian chytrid fungus exposure on American toads in the presence of an insecticide,https://setac.onlinelibrary.wiley.com/doi/full/10.1002/etc.2709?casa_token=hfXgY8durc0AAAAA%3A7llBURZgvxd3KxS0pFnYH4qLW0KPUcTC8Ivqj0KUgrAQCFINHjXTGYjCMBGbSYMX2_7btkbiMXAD2vs
26,Retallick,2007,text,Anura,Hylidae,Pseudacris triseriata,Pseudacris triseriata,Sensitive,Wild,Lab,Juvenile,Juvenile,0.84,-110.962352,34.32597,20,,,93,Organism,Body condition,Mass change,,60,,,2.667,37,-0.401550587,n,-0.425496233,0.01754386,0.132453236,,"Strain differences in the amphibian chytrid Batrachochytrium dendrobatidis and non-permanent, sub-lethal effects of infection",https://www.int-res.com/abstracts/dao/v75/n3/p201-207/
27,Woodham,2007,Table 2,Anura,Pelodryadidae,Litoria chloris,Litoria chloris,Resilient,Lab,Lab,Juvenile,Juvenile,,,,20,GibboRiver-Llesueuri-00-LB-1,,27,Cellular,Immune,Neutrophils,,43,,,,,-0.430539225,n,-0.460558414,0.025,0.158113883,,Resistance to chytridiomycosis varies among amphibian species and is correlated with skin peptide defenses,https://zslpublications.onlinelibrary.wiley.com/doi/full/10.1111/j.1469-1795.2007.00130.x
27,Woodham,2007,Table 2,Anura,Pelodryadidae,Litoria chloris,Litoria chloris,Resilient,Lab,Lab,Juvenile,Juvenile,,,,20,GibboRiver-Llesueuri-00-LB-1,,27,Cellular,Immune,Eosinophils,,43,,,,,-0.29439916,n,-0.303376101,0.025,0.158113883,,,
27,Woodham,2007,Table 2,Anura,Pelodryadidae,Litoria chloris,Litoria chloris,Resilient,Lab,Lab,Juvenile,Juvenile,,,,20,GibboRiver-Llesueuri-00-LB-1,,27,Cellular,Immune,Basophils,,43,,,,,0.306617326,n,0.316807419,0.025,0.158113883,,,
27,Woodham,2007,Table 2,Anura,Pelodryadidae,Litoria chloris,Litoria chloris,Resilient,Lab,Lab,Juvenile,Juvenile,,,,20,GibboRiver-Llesueuri-00-LB-1,,27,Cellular,Immune,Lymphocytes,,43,,,,,-0.111537057,n,-0.112003067,0.025,0.158113883,,,
27,Woodham,2007,Table 2,Anura,Pelodryadidae,Litoria chloris,Litoria chloris,Resilient,Lab,Lab,Juvenile,Juvenile,,,,20,GibboRiver-Llesueuri-00-LB-1,,27,Cellular,Immune,Monocytes,,43,,,,,-0.030885178,n,-0.030895004,0.025,0.158113883,,,
28,Woodham,2012,text,Anura,Pelodryadidae,Litoria serrata,Litoria serrata,Resilient,Wild,Wild,Adult,,5.1,146.158733,-18.975944,,,,,Organism,Body condition,Body condition,,17,,,,,0.031,n,0.031009936,0.071428571,0.267261242,,"Immune evasion or avoidance: Fungal skin infection linked to reduced defence peptides in Australian green-eyed treefrogs, Litoria serrata",https://www.sciencedirect.com/science/article/pii/S1878614612001742?casa_token=revZvDlFcn4AAAAA:X1m0Un3Ff7ZvquWNjKY74npOSvIQ40C_-yKXUyS2EQOD4C00NEKrNJxWVBiVh-pKv1bpXTMR
28,Woodham,2012,Fig 2,Anura,Pelodryadidae,Litoria serrata,Litoria serrata,Resilient,Wild,Wild,Adult,,5.1,,,,,,,Cellular,Immune,Peptide profiles,,27,,,,,-0.418561353,n,-0.445946524,0.041666667,0.204124145,,,
28,Woodham,2012,Fig 2,Anura,Pelodryadidae,Litoria serrata,Litoria serrata,Resilient,Wild,Wild,Adult,,5.1,,,,,,,Cellular,Immune,Peptide profiles,,27,,,,,-0.538568562,n,-0.60213714,0.041666667,0.204124145,,,
28,Woodham,2012,Fig 2,Anura,Pelodryadidae,Litoria serrata,Litoria serrata,Resilient,Wild,Wild,Adult,,5.1,,,,,,,Cellular,Immune,Peptide profiles,,27,,,,,-0.532712157,n,-0.593924331,0.041666667,0.204124145,,,
28,Woodham,2012,Fig 2,Anura,Pelodryadidae,Litoria serrata,Litoria serrata,Resilient,Wild,Wild,Adult,,5.1,,,,,,,Cellular,Immune,Peptide profiles,,27,,,,,-0.519117836,n,-0.575131408,0.041666667,0.204124145,,,
29,Murphy,2011,Fig 2,Anura,Bufonidae,Anaxyrus boreas,Anaxyrus boreas,Sensitive,Lab,Lab,Adult,,17.9,,,15,JEL 275,,64,Organism,Body condition,Mass change,g/wk,24,,,,,-0.686354866,n,-0.841031197,0.047619048,0.21821789,,"Temperature, hydric environment, and prior pathogen exposure alter the experimental severity of chytridiomycosis in boreal toads",https://www.int-res.com/abstracts/dao/v95/n1/p31-42/
29,Murphy,2011,Fig 2,Anura,Bufonidae,Anaxyrus boreas,Anaxyrus boreas,Sensitive,Lab,Lab,Adult,,17.9,,,18,JEL 275,,64,Organism,Body condition,Mass change,g/wk,24,,,,,0.184946564,n,0.187099641,0.047619048,0.21821789,,,
29,Murphy,2011,Fig 2,Anura,Bufonidae,Anaxyrus boreas,Anaxyrus boreas,Sensitive,Lab,Lab,Adult,,17.9,,,15,JEL 275,,64,Organism,Skin integrity,Skin sheds,n/d,24,,,,,-0.559945942,y,-0.632754434,0.047619048,0.21821789,,,
29,Murphy,2011,Fig 2,Anura,Bufonidae,Anaxyrus boreas,Anaxyrus boreas,Sensitive,Lab,Lab,Adult,,17.9,,,18,JEL 275,,64,Organism,Skin integrity,Skin sheds,n/d,24,,,,,-0.059035753,y,-0.059104481,0.047619048,0.21821789,,,
30,Voyles,2007,Table 1,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,35.7,,,20.5,,100000,63,Cellular,Osmoregulation,Plasma osmolarity,mmol/l,11,,,,,-0.634623338,n,-0.749119456,0.125,0.353553391,,Electrolyte depletion and osmotic imbalance in amphibians with chytridiomycosis,https://www.int-res.com/articles/dao2007/77/d077p113.pdf
30,Voyles,2007,Table 1,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,35.7,,,20.5,,100000,63,Cellular,Osmoregulation,Plasma sodium,mmol/l,12,,,,,-0.848383799,n,-1.250357291,0.111111111,0.333333333,,,
30,Voyles,2007,Table 1,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,35.7,,,20.5,,100000,63,Cellular,Osmoregulation,Plasma potassium,mmol/l,12,,,,,-0.711268998,n,-0.889747506,0.111111111,0.333333333,,,
30,Voyles,2007,Table 1,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,35.7,,,20.5,,100000,63,Cellular,Osmoregulation,Plasma chloride,mmol/l,12,,,,,-0.946824205,n,-1.800175697,0.111111111,0.333333333,,,
30,Voyles,2007,Table 1,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,35.7,,,20.5,,100000,63,Cellular,Cardiovascular,Blood CO2,mmHg,11,,,,,-0.419881492,n,-0.447548142,0.125,0.353553391,,,
30,Voyles,2007,Table 1,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,35.7,,,20.5,,100000,63,Cellular,Cardiovascular,pH,,12,,,,,-0.324432762,n,-0.336593427,0.111111111,0.333333333,,,
30,Voyles,2007,Table 1,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,35.7,,,20.5,,100000,63,Cellular,Cardiovascular,RBC,,11,,,,,0.072040544,n,0.07216556,0.125,0.353553391,,,
30,Voyles,2007,Table 1,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,35.7,,,20.5,,100000,63,Cellular,Cardiovascular,Haemoglobin,g/l,11,,,,,0.252128862,n,0.257684892,0.125,0.353553391,,,
30,Voyles,2007,Table 1,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,35.7,,,20.5,,100000,63,Cellular,Osmoregulation,Plasma glucose,mmol/l,8,,,,,-0.005775974,n,-0.005776038,0.2,0.447213595,,,
31,Voyles,2009,SI,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,39.19,146.8169,-19.259,20.5,TullyRiver-L.rheocola-06-LB-1-p9,,60,Cellular,Osmoregulation,Plasma sodium,mmol/l,23,,,,,-0.64,n,-0.758173745,0.05,0.223606798,,"Pathogenesis of Chytridiomycosis,a Cause of CatastrophicAmphibian Declines",https://www.science.org/doi/epdf/10.1126/science.1176765
31,Voyles,2009,SI,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,39.19,,,20.5,TullyRiver-L.rheocola-06-LB-1-p10,,60,Cellular,Osmoregulation,Plasma potassium,mmol/l,22,,,,,-0.47,n,-0.510070337,0.052631579,0.229415734,,,
31,Voyles,2009,SI,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,39.19,,,20.5,TullyRiver-L.rheocola-06-LB-1-p11,,60,Cellular,Osmoregulation,Plasma calcium,mmol/l,22,,,,,-0.44,n,-0.472230804,0.052631579,0.229415734,,,
31,Voyles,2009,SI,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,39.19,,,20.5,TullyRiver-L.rheocola-06-LB-1-p12,,60,Cellular,Osmoregulation,Plasma chloride,mmol/l,7,,,,,-0.08,n,-0.080171325,0.25,0.5,,,
31,Voyles,2009,SI,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,39.19,,,20.5,TullyRiver-L.rheocola-06-LB-1-p13,,60,Cellular,Osmoregulation,Plasma glucose,mmol/l,22,,,,,0.11,n,0.110446916,0.052631579,0.229415734,,,
31,Voyles,2009,SI,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,39.19,,,20.5,TullyRiver-L.rheocola-06-LB-1-p13,,60,Cellular,Osmoregulation,Active sodium transport,uA/cm2,14,,,,,-0.725712062,n,-0.919608306,0.090909091,0.301511345,,,
31,Voyles,2009,SI,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Lab,Lab,Adult,,39.19,,,20.5,TullyRiver-L.rheocola-06-LB-1-p13,,60,Cellular,Skin integrity,Skin resistance,Ohm/cm2,14,,,,,-0.549313786,n,-0.617398027,0.090909091,0.301511345,,,
32,Gabor,2018,text,Anura,Hylidae,Osteopilus septentrionalis,Osteopilus septentrionalis,Resilient,Wild,Lab,Juvenile,Juvenile,0.79,-82.416667,28.05,22,SRS 812,136.3727854,35,Cellular,Hormone level,Corticosterone,pg/g/h,17,,,,,0.04,n,0.040021354,0.071428571,0.267261242,repeated,Are the adverse effects of stressors on amphibians mediated by their effects on stress hormones?,https://link.springer.com/article/10.1007/s00442-017-4020-3
